dataset,technique,macro_f1,accuracy,val_macro_f1,val_accuracy,q,L,depth,two_qubit_gates,entanglement_pattern,feature_dim,encoding_time_s_per_sample,preproc_time_s,backend,shots,n_encode_fail,val_accuracy_mean,val_accuracy_std,val_macro_f1_mean,val_macro_f1_std,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,n_runs,clf_kind,base_seed,n_encode_fail_total
tweet_eval_sentiment,(1) angle + linear entanglement | q=4 | L=1 | clf=linearsvc,0.2752231427020731,0.4567893194399218,0.3199438615300511,0.4423,4,1,2,3,"linear(chain,cnot)",4,0.0013066555000841,1.1228479000274092,default.qubit,Shots(total=None),0,0.4423,0.0033466401061363,0.3199438615300511,0.0040804978162468,0.4567893194399218,0.0015439399722528,0.2752231427020731,0.0018797931473549,5,linearsvc,42,0
tweet_eval_sentiment,(2) angle + full entanglement | q=4 | clf=linearsvc,0.273329475555175,0.4565450993161836,0.3097542995623802,0.4323,4,1,4,6,"all_to_all(chain,cnot)",4,0.0015124344997457,1.1228479000274092,default.qubit,Shots(total=None),0,0.4323,0.0107039712256713,0.3097542995623802,0.0090014489404472,0.4565450993161836,0.0021990361325817,0.273329475555175,0.0013641368216223,5,linearsvc,42,0
tweet_eval_sentiment,(3) amplitude encoding (hashing k=2^4=16) | q=4 | clf=linearsvc,0.2718995117197621,0.4003744708563985,0.292903201960331,0.4293999999999999,4,1,16,11,amplitude-reupload(L=1)|cnot|chain,4,0.0011772355000721,0.5298661999986507,default.qubit,Shots(total=256),0,0.4293999999999999,0.0029664793948382,0.292903201960331,0.002977858650627,0.4003744708563985,0.0011241791824131,0.2718995117197621,0.0009820178031134,5,linearsvc,42,0
tweet_eval_sentiment,(4) word2ket | enc=angle | readout=Z | ent=cnot | topo=chain | q=4 | clf=linearsvc,0.2172242712673179,0.4833116248778899,0.2019286627163936,0.4345,4,1,2,3,word2ket-angle|cnot|chain,4,0.001481588500028,55.015207699965686,default.qubit,Shots(total=None),0,0.4345,0.0,0.2019286627163936,0.0,0.4833116248778899,0.0,0.2172242712673179,5.331755270699151e-06,5,linearsvc,42,0
tweet_eval_sentiment,(1) angle + linear entanglement | q=8 | L=1 | clf=linearsvc,0.2802899771697462,0.4574242917616412,0.3216126345968398,0.4443,8,1,2,7,"linear(chain,cnot)",8,0.0020290234999265,1.1740611000568606,default.qubit,Shots(total=None),0,0.4443,0.0088572004606421,0.3216126345968398,0.0095899339223817,0.4574242917616412,0.0026271800005055,0.2802899771697462,0.0026506234572917,5,linearsvc,42,0
tweet_eval_sentiment,(2) angle + full entanglement | q=8 | clf=linearsvc,0.2814904623965292,0.456675350048844,0.3136260686848685,0.4391,8,1,8,28,"all_to_all(chain,cnot)",8,0.0028190914998413,1.1740611000568606,default.qubit,Shots(total=None),0,0.4391,0.0080109300333981,0.3136260686848685,0.006412283755008,0.456675350048844,0.0020837573110747,0.2814904623965292,0.0015513751959784,5,linearsvc,42,0
tweet_eval_sentiment,(3) amplitude encoding (hashing k=2^8=256) | q=8 | clf=linearsvc,0.2845291446939985,0.4115109084988603,0.2976629746051377,0.4378,8,1,256,247,amplitude-reupload(L=1)|cnot|chain,8,0.0015830680000362,0.6697596000158228,default.qubit,Shots(total=256),0,0.4378,0.005203364296299,0.2976629746051377,0.003105309782823,0.4115109084988603,0.0028556238548991,0.2845291446939985,0.0024699885555812,5,linearsvc,42,0
tweet_eval_sentiment,(4) word2ket | enc=angle | | L=1 | ent=cnot | topo=chain | q=8 | clf=linearsvc,0.253536112184832,0.4500976880494953,0.2554647977022564,0.4331,8,1,2,7,word2ket-angle|cnot|chain,8,0.0020885445000021,53.984070700011216,default.qubit,Shots(total=None),0,0.4331,0.0025347583711273,0.2554647977022564,0.0049298568465713,0.4500976880494953,0.0032178826727535,0.253536112184832,0.001676920131208,5,linearsvc,42,0
tweet_eval_sentiment,(1) angle + linear entanglement | q=12 | L=1 | clf=linearsvc,0.2832484956338703,0.4600944317811787,0.3227746175295887,0.4396,12,1,2,11,"linear(chain,cnot)",12,0.0030359105000388,1.1985160000040196,default.qubit,Shots(total=None),0,0.4396,0.0099837367753762,0.3227746175295887,0.0076821666946482,0.4600944317811787,0.0005473049923142,0.2832484956338703,0.0016228385146204,5,linearsvc,42,0
tweet_eval_sentiment,(2) angle + full entanglement | q=12 | clf=linearsvc | L=1,0.2820198555161287,0.4590849886030608,0.3204533426123817,0.4397,12,1,12,66,"all_to_all(chain,cnot)",12,0.0053452200000174,1.1985160000040196,default.qubit,Shots(total=None),0,0.4397,0.0054612269683652,0.3204533426123817,0.0071981456710179,0.4590849886030608,0.0018344527938655,0.2820198555161287,0.0014604270586196,5,linearsvc,42,0
tweet_eval_sentiment,(3) amplitude encoding (hashing k=2^12=4096) | q=12 | clf=linearsvc | L=1,0.2789031918306517,0.4001790947574079,0.3060093809259746,0.4423999999999999,12,1,4096,4083,amplitude-reupload(L=1)|cnot|chain,12,0.0028538024998852,3.602352300018538,default.qubit,Shots(total=256),0,0.4423999999999999,0.0047880058479496,0.3060093809259746,0.0041430051014674,0.4001790947574079,0.0014826304931812,0.2789031918306517,0.0016079336398096,5,linearsvc,42,0
tweet_eval_sentiment,(4) word2ket | enc=angle | | L=1 | ent=cnot | topo=chain | q=12 | clf=linearsvc,0.2690692731735858,0.4356887007489417,0.2775199324926773,0.4180999999999999,12,1,2,11,word2ket-angle|cnot|chain,12,0.0034052940001129,53.76657159999013,default.qubit,Shots(total=None),0,0.4180999999999999,0.0061987902045479,0.2775199324926773,0.0061654208568447,0.4356887007489417,0.0016553809351728,0.2690692731735858,0.0014241477121991,5,linearsvc,42,0
tweet_eval_sentiment,(1) angle + linear entanglement | q=16 | L=1 | clf=linearsvc,0.2907943363605138,0.4598664929990231,0.3240560311198847,0.4421,16,1,2,15,"linear(chain,cnot)",16,0.0143293614999856,1.2296312999678776,default.qubit,Shots(total=None),0,0.4421,0.0082643814045577,0.3240560311198847,0.0066052109584179,0.4598664929990231,0.0018474121976408,0.2907943363605138,0.0022355968031089,5,linearsvc,42,0
tweet_eval_sentiment,(1) angle + linear entanglement | q=4 | L=2 | clf=linearsvc,0.273114136172342,0.4456528817974601,0.3147160739551837,0.4441,4,2,2,3,"linear(chain,cnot)",4,0.0017485660000238,1.1228479000274092,default.qubit,Shots(total=None),0,0.4441,0.0053898051912847,0.3147160739551837,0.0045102875120471,0.4456528817974601,0.0014523741533303,0.273114136172342,0.0011594995399639,5,linearsvc,42,0
tweet_eval_sentiment,(4) word2ket | enc=angle | | L=2 | ent=cnot | topo=chain | q=4 | clf=linearsvc,0.2199054552846514,0.4827092152393357,0.2066919737183509,0.4343,4,2,2,3,word2ket-angle|cnot|chain,4,0.0019718069999362,62.29951550002443,default.qubit,Shots(total=None),0,0.4343,0.0002738612787525,0.2066919737183509,0.0059785532364833,0.4827092152393357,0.00083931855544,0.2199054552846514,0.003648449278026,5,linearsvc,42,0
tweet_eval_sentiment,(2) angle + full entanglement | q=4 | clf=linearsvc | L=2,0.2739518394017809,0.4503256268316509,0.3132815297202596,0.4397,4,2,4,6,"all_to_all(chain,cnot)",4,0.0024625300001935,1.1228479000274092,default.qubit,Shots(total=None),0,0.4397,0.0059434838268476,0.3132815297202596,0.0055123985579494,0.4503256268316509,0.0024694560810332,0.2739518394017809,0.0027882129927448,5,linearsvc,42,0
tweet_eval_sentiment,(1) angle + linear entanglement | q=8 | L=2 | clf=linearsvc,0.2803036078993526,0.4506024096385542,0.3120083543173188,0.441,8,2,2,7,"linear(chain,cnot)",8,0.0035748134998721,1.1740611000568606,default.qubit,Shots(total=None),0,0.441,0.0056124860801609,0.3120083543173188,0.005369085417505,0.4506024096385542,0.0018753603775955,0.2803036078993526,0.0014844144236172,5,linearsvc,42,0
tweet_eval_sentiment,(4) word2ket | enc=angle | | L=2 | ent=cnot | topo=chain | q=8 | clf=linearsvc,0.2662516400772562,0.4481113643764246,0.2855638891627728,0.4459000000000001,8,2,2,7,word2ket-angle|cnot|chain,8,0.0031976564999786,71.83602479996625,default.qubit,Shots(total=None),0,0.4459000000000001,0.0041140004861448,0.2855638891627728,0.0045872437575214,0.4481113643764246,0.0026218774067955,0.2662516400772562,0.0010648863292252,5,linearsvc,42,0
tweet_eval_sentiment,(3) amplitude encoding (hashing k=2^4=16) | q=4 | clf=linearsvc | L=2,0.2429865689233343,0.4630250732660371,0.215977040072985,0.4316,4,2,16,11,amplitude-reupload(L=2)|cnot|chain,4,0.0034667209998588,0.5495965000009164,default.qubit,Shots(total=256),0,0.4316,0.0018841443681416,0.215977040072985,0.0031254080110775,0.4630250732660371,0.0014623781010641,0.2429865689233343,0.0019357684236608,5,linearsvc,42,0
tweet_eval_sentiment,(2) angle + full entanglement | q=8 | clf=linearsvc | L=2,0.27497991948985795,0.45,0.3203329323814813,0.4492,8,2,8,28,"all_to_all(chain,cnot)",8,0.006305346000008285,1.1740611000568606,default.qubit,Shots(total=None),0,0.4492,0.00539212388581717,0.3203329323814813,0.004467152057885953,0.45,0.0014314623666775077,0.27497991948985795,0.001478340063789871,5,linearsvc,42,0
